customer,product,2004_qty_month1,2004_qty_month2,2004_qty_month3,2004_qty_month4,2004_qty_month5,2004_qty_month6,2004_qty_month7,2004_qty_month8,2004_qty_month9,2004_qty_month10,2004_qty_month11,2004_qty_month12,2004_qty_quarter1,2004_qty_quarter2,2004_qty_quarter3,2004_qty_quarter4,2004_Total_qty
T070560125,PRD2,0,0,0,0,0,0,70,0,0,0,0,0,0,0,70,0,70
T070560125,PRD1,68,0,0,0,0,0,0,68,0,0,68,0,68,0,68,68,204
T070680014,PRD2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,6
T070720745,PRD2,60,0,60,0,0,60,30,60,0,0,0,0,120,60,90,0,270
T070810976,PRD2,0,20,0,0,30,0,0,60,0,0,0,0,20,30,60,0,110
T070810976,PRD1,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,0,40
T154157867,PRD2,0,0,0,0,0,0,30,34,0,0,0,0,0,0,64,0,64
T154157867,PRD3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30
T073761887,PRD2,0,24,0,0,0,6,0,0,0,0,0,0,24,6,0,0,30
T073761887,PRD3,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,30,30
T073791545,PRD2,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,12
T073820284,PRD2,60,26,40,0,0,0,20,0,0,0,0,0,126,0,20,0,146
T073821425,PRD2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
T073821425,PRD1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4
T073850036,PRD2,0,0,0,0,31,0,62,0,0,0,0,0,0,31,62,0,93
T073850036,PRD3,0,0,30,0,0,0,0,0,0,0,0,0,30,0,0,0,30
T073900823,PRD2,60,0,90,120,30,150,30,90,30,0,0,0,150,300,150,0,600
T073900823,PRD1,60,90,30,30,90,90,120,210,150,330,150,270,180,210,480,750,1620
T077690115,PRD2,0,20,0,0,0,44,60,0,20,0,0,0,20,44,80,0,144
T077690115,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T081630074,PRD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T081680235,PRD2,0,0,0,0,2,1,12,0,2,0,0,0,0,3,14,0,17
